Date,Open,High,Low,Close,Adj Close,Volume
2001-08-07,120.269997,121.199997,119.910004,120.769997,82.542984,8865100
2001-08-08,120.120003,121.160004,118.430000,118.529999,81.012032,15183800
2001-08-09,118.699997,118.970001,117.860001,118.879997,81.251205,14118500
2001-08-10,118.800003,119.839996,117.339996,119.290001,81.531456,11173300
2001-08-13,119.599998,119.849998,118.809998,119.320000,81.551987,7431600
2001-08-14,120.139999,120.349998,118.800003,119.269997,81.517776,13178100
2001-08-15,119.230003,119.610001,118.080002,118.239998,80.813828,8520600
2001-08-16,117.800003,118.750000,117.000000,118.650002,81.094009,10734700
2001-08-17,117.650002,117.870003,116.010002,116.750000,79.795464,11604600
2001-08-20,116.800003,117.900002,116.550003,117.830002,80.533607,10417400
2001-08-21,117.800003,118.540001,115.800003,115.820000,79.159843,14480800
2001-08-22,116.750000,117.430000,115.779999,117.019997,79.979950,11752300
2001-08-23,116.959999,117.519997,116.489998,116.599998,79.692924,8744100
2001-08-24,117.209999,119.129997,116.739998,119.019997,81.346909,11687700
2001-08-27,118.970001,119.199997,118.260002,118.309998,80.861671,7425100
2001-08-28,118.279999,118.489998,116.580002,116.580002,79.679260,12046600
2001-08-29,117.129997,117.180000,115.169998,115.540001,78.968430,16180000
2001-08-30,114.849998,115.739998,112.040001,113.320000,77.451157,17692600
